TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
31.488000000,-454.019,59.7516,37.8594,17.072,19.9915,10.0145,1.60027,-2.08018,-11.9438,-8.72402,9.26081,5.34887,-11.3863,-10.0838,2.3128,-1.89337,-8.01111,-6.07233,-1.49375,-3.11386,-0.735895
31.509333333,-456.26,56.9469,35.1882,18.3184,19.4948,11.0802,4.68743,-3.66818,-14.7715,-7.1115,8.42897,1.82404,-15.9117,-10.955,2.21631,-3.15137,-5.71526,-2.77974,-1.6897,-5.8955,-3.28621
31.530666667,-446.498,58.3908,29.2007,18.0727,25.2756,12.3989,-0.589103,-5.34297,-9.4401,-9.51456,0.614241,2.27714,-9.42218,-8.5908,-0.289567,-0.358424,-4.71159,-5.67872,-5.63178,-5.84742,-0.459778
31.552000000,-452.617,59.4285,32.2096,16.6629,18.5455,8.34218,0.563022,-5.2664,-11.152,-8.64782,7.77782,2.98083,-14.9493,-11.0622,0.630782,-0.585718,-6.47163,-3.6441,-4.95134,-7.88272,-1.77507
31.573333333,-445.581,58.451,28.9511,17.3353,23.5926,7.99781,-4.49154,-6.90872,-9.82466,-7.60049,4.16965,-1.98122,-13.2819,-10.7529,-0.392273,0.949978,-4.07253,-2.27708,-7.74279,-10.3477,0.653477
31.594666667,-447.523,60.7031,30.4071,14.3621,20.4315,9.24004,-2.58483,-6.4527,-11.3215,-9.20403,3.25238,3.92261,-8.35719,-8.51332,1.82969,1.60497,-4.45008,-4.41199,-5.56053,-6.38052,-0.404133
31.616000000,-456.094,56.3919,32.3825,14.9175,18.8646,9.01791,2.61737,-6.55669,-13.3635,-5.64785,8.99575,3.03851,-14.0972,-9.63191,4.17638,1.47869,-4.80326,-3.97197,-4.08511,-5.60508,-0.253647
31.637333333,-458.273,58.7144,35.6428,15.3162,16.8858,6.05153,1.64198,-6.21998,-11.9402,-4.5849,11.1505,0.709019,-16.9522,-11.0379,3.4785,2.97256,-2.14213,-3.90216,-4.32836,-2.82268,2.67056
31.658666667,-455.218,59.7284,38.4,13.4383,13.332,7.2129,2.00227,-7.07127,-14.9147,-6.50442,4.92142,-0.255591,-12.7008,-7.94709,4.01431,4.50122,-0.566869,-4.0276,-3.85143,-3.37023,0.928764
31.680000000,-453.661,59.8077,36.3037,12.1247,12.3365,8.33513,3.0432,-3.88385,-11.4688,-5.47234,8.95046,1.86481,-11.3544,-8.44512,3.04962,2.68026,-4.68045,-3.33796,-1.8058,-4.29749,-0.95012
31.701333333,-456.119,58.503,37.1541,17.7707,16.6892,6.76278,-1.36628,-7.28572,-9.90849,-2.55389,10.1472,2.00786,-13.9612,-7.87351,3.36506,0.271475,-3.92446,-4.7255,-5.59172,-7.83809,-1.7643
31.722666667,-455.071,59.2072,39.8132,13.9378,12.2002,3.66515,1.48582,-2.42352,-15.0178,-10.5852,7.78092,2.98368,-12.4362,-8.03977,3.69488,1.76537,-4.32575,-4.87722,-4.16084,-6.41573,-1.87389
31.744000000,-449.344,64.9329,40.3789,13.1047,12.5214,5.724,2.13103,-3.54468,-12.0584,-7.89804,6.62979,2.13983,-13.3796,-8.1208,5.54901,3.09561,-4.02579,-1.67179,-1.40014,-6.46317,-2.80761
31.765333333,-446.486,62.7959,33.8918,11.5321,13.6931,7.56881,0.363896,-4.40085,-11.6176,-7.26811,8.08076,1.90685,-12.0476,-9.75757,5.3626,1.41696,-4.97007,-3.54024,-2.45167,-6.38555,-3.67164
31.786666667,-446.319,63.3953,35.5147,15.3772,16.1548,5.61786,0.435608,-4.37484,-13.3326,-8.58157,6.77391,0.801009,-14.8995,-11.3159,2.94358,3.39388,-4.64999,-3.92932,-1.49372,-4.67046,-2.25318
31.808000000,-446.154,63.4227,35.757,13.4306,14.2479,5.95995,0.585057,-6.6313,-11.5035,-5.41031,10.3933,3.15531,-14.4765,-9.52667,4.93498,3.43495,-2.57304,-1.59962,-2.0303,-5.59604,-1.10255
31.829333333,-444.487,63.3507,34.6112,14.603,19.1581,6.66676,-0.907095,-6.06882,-13.1271,-6.39751,10.9555,3.11202,-15.5753,-12.4792,3.74961,2.48122,-3.60192,-2.58164,-2.16202,-5.55941,-2.23581
31.850666667,-448.669,62.7921,34.3313,15.0893,16.8895,5.95055,-2.24705,-9.46609,-15.859,-7.42165,9.71202,3.72955,-14.47,-11.6978,3.51589,2.78896,-4.13903,-4.59814,-1.81249,-5.23997,-0.401449
31.872000000,-442.891,64.5495,34.0616,15.4402,18.2059,5.24662,-1.82474,-5.82873,-11.9234,-8.69506,7.15959,2.66994,-14.7478,-10.8987,4.33782,5.49608,-1.80843,-2.69252,-4.64673,-7.21138,-0.703989
31.893333333,-446.707,63.2804,35.7673,13.0411,14.8335,5.78594,2.01282,-3.50391,-14.4294,-6.90601,8.95868,4.81789,-13.4483,-9.62214,6.2266,2.37833,-3.699,-3.4786,-3.33891,-6.09939,-1.7024
31.914666667,-437.601,68.9816,36.7787,14.5478,16.4742,4.06336,1.14823,-4.4417,-11.5919,-7.0518,8.59863,1.06646,-15.7234,-10.8271,7.85736,6.66791,-4.81683,-1.52154,-0.824661,-3.84525,-1.16798
31.936000000,-445.608,67.1357,40.3663,14.1706,14.5457,5.30316,0.496226,-6.5619,-12.7714,-6.67217,9.5723,3.77793,-13.1376,-7.86172,6.21201,3.38352,-5.7481,-3.6147,-0.965032,-2.55746,-0.140546
31.957333333,-448.34,62.8594,36.9369,17.4328,12.8086,1.56631,-2.50147,-4.42173,-13.918,-7.08699,7.46199,-2.95253,-20.7892,-11.527,5.71386,4.48896,-3.87265,-6.62323,-6.23409,-4.38564,1.24043
31.978666667,-444.581,66.0007,36.6647,13.6573,13.3521,3.88062,0.927874,-5.6725,-10.7613,-3.18045,8.18619,-2.2053,-17.8542,-9.97271,6.36585,2.10189,-4.35964,-2.94459,-2.20978,-6.7831,-0.545629
32.000000000,-445.276,66.9904,38.6544,15.3799,14.1636,1.07616,-1.66475,-5.35292,-14.4177,-9.63577,7.97442,0.517694,-17.3091,-11.6547,6.31968,6.4569,-2.81142,-5.50496,-6.46919,-7.84621,-1.77831
32.021333333,-440.313,65.342,33.8322,12.0512,13.0397,1.9459,-0.436615,-1.4336,-11.8185,-7.06593,8.33616,0.45519,-17.5304,-11.5613,4.45641,2.32811,-5.79688,-4.88499,-2.60011,-5.80938,-1.24084
32.042666667,-441.364,67.9798,36.5252,12.9082,12.3803,1.13677,-0.907419,-2.77018,-12.5954,-9.65209,7.09151,1.0877,-15.7074,-12.6489,4.55002,2.9309,-4.11013,-4.88176,-5.5542,-4.87499,-1.40746
32.064000000,-435.912,68.9734,36.9541,14.7029,12.787,-0.477946,-0.355761,-1.1387,-12.5154,-10.2571,8.48529,4.67684,-14.2118,-12.5533,2.85655,3.51602,-1.99269,-3.02514,-3.23542,-2.73378,0.546406
32.085333333,-443.837,65.7596,36.9435,12.7243,8.83706,0.84274,-1.75894,-6.20689,-8.09018,-3.7796,11.0038,6.72062,-12.6866,-10.756,3.08272,3.77821,-4.06397,-5.32337,-5.40942,-5.4741,-2.45604
32.106666667,-446.933,68.2332,39.5264,9.31028,6.42353,-0.830621,-2.12218,-5.69372,-12.0654,-4.59621,7.55916,2.70075,-10.6858,-6.39519,6.67619,3.50222,-1.68621,-4.69165,-4.42504,-1.33771,-0.0675125
32.128000000,-446.882,64.8929,37.5972,10.8352,6.67489,-0.458981,-1.02937,-5.4737,-12.992,-11.08,3.7718,1.25001,-9.90934,-6.44845,4.71405,4.65784,-1.37302,-2.40591,-4.37634,-2.27294,3.62358
32.149333333,-454.992,67.2462,44.6601,7.74872,3.37848,3.19712,-2.90879,-10.6756,-9.3814,-2.59022,3.04247,-3.08608,-10.3142,-8.95716,1.06954,6.20595,2.17853,-5.17413,-4.29303,-0.452368,0.449363
32.170666667,-442.695,68.3338,39.8398,11.4248,5.10269,-2.95563,-2.73389,-1.19238,-9.42711,-5.75164,8.00399,1.11627,-12.6675,-8.96218,3.41073,3.57066,-0.226645,-1.74093,-3.19856,-1.77382,1.53555
32.192000000,-442.05,68.387,38.4444,9.15777,3.67351,-3.24037,-2.34163,-5.69463,-12.7023,-5.89699,5.44765,-0.83299,-12.4144,-8.56483,4.00926,4.4107,-0.560663,-2.09658,-2.21696,-1.58001,1.57
32.213333333,-445.062,65.4169,37.2389,9.25921,5.19879,0.84746,-0.737294,-5.8598,-12.8576,-7.74545,6.01841,1.13249,-12.633,-10.2659,3.71771,6.96356,-2.41678,-4.5814,-4.53702,-5.10191,0.209589
32.234666667,-437.163,67.4032,33.0355,12.5942,13.3628,2.79546,-4.21194,-5.02592,-8.33763,-7.53121,5.92737,2.53342,-10.7874,-10.576,2.11584,3.36608,-0.905461,-3.15828,-6.17965,-5.92803,0.50309
32.256000000,-434.106,69.7212,35.5617,9.92854,10.5587,0.686331,-2.04505,-3.41182,-11.7714,-6.48305,8.43689,2.79025,-13.5083,-8.23387,5.22282,2.90436,-4.48903,-5.63335,-4.2777,-4.22686,-0.581497
32.277333333,-434.534,71.0851,35.7974,7.45501,11.3778,1.15293,-3.26241,-3.69176,-9.88944,-4.60253,7.92531,1.31621,-17.1551,-10.9809,4.48047,3.26938,-3.67461,-2.6752,-0.784083,-3.4832,-2.71819
32.298666667,-438.058,70.6501,38.6027,7.97681,6.5969,2.11108,-0.836372,-2.42208,-9.71201,-4.05467,9.37701,1.96188,-13.9153,-8.50368,5.46458,0.958711,-3.34425,-1.72658,-4.04712,-5.0164,1.19404
32.320000000,-441.523,66.9208,38.5622,10.8899,6.24621,0.0537126,-0.817512,-4.26192,-14.1582,-7.07312,7.09548,1.21238,-14.0057,-7.89102,5.23087,2.35179,-5.71522,-5.66486,-5.24494,-3.51574,3.81729
32.341333333,-439.619,70.384,35.2657,8.97386,7.14188,-3.14913,-3.6982,-1.08259,-8.3109,-7.27551,6.50987,2.71904,-12.3991,-9.2482,5.48587,5.1825,-2.42434,-5.10272,-5.74068,-1.35752,3.37367
32.362666667,-443.418,67.0379,38.444,9.5237,6.52462,-0.478299,-0.398063,-3.8833,-11.4763,-5.87437,7.46363,2.64322,-14.623,-8.46857,5.22699,4.6116,-3.77409,-3.70517,-4.7347,-4.48782,1.02574
32.384000000,-438.1,70.4369,38.118,9.57858,6.48516,-2.86846,-0.626104,-5.03023,-12.8041,-5.36355,7.91325,1.27564,-14.8465,-10.1853,5.55289,1.98907,-3.92765,-2.65439,-2.92678,-0.662681,3.32924
32.405333333,-440.803,69.7741,39.2974,10.8773,7.24055,-0.604619,-2.01335,-4.16312,-11.2992,-4.65376,9.31283,3.29456,-11.8672,-7.12881,6.50863,4.80732,-3.47708,-2.62467,-4.42604,-3.41983,1.55265
32.426666667,-441.827,69.4564,39.0687,8.71788,6.03329,0.932492,2.08377,-2.71539,-6.48536,-2.83774,9.7451,1.53807,-15.5735,-8.98263,3.08435,4.61582,-3.00184,-5.17982,-3.5208,-3.95531,0.385178
32.448000000,-445.002,67.1485,38.2885,6.72625,4.1979,0.519727,2.11751,-1.04558,-8.59735,-2.08834,9.72075,1.00544,-13.7286,-10.9234,3.3627,2.63025,-4.82848,-6.56301,-2.82452,-3.72438,1.63821
32.469333333,-445.704,68.207,40.9505,8.25133,5.54828,-1.40001,-1.01821,-2.47491,-8.91917,-3.90911,11.0979,2.8543,-14.3218,-8.98429,5.351,3.59909,-3.10461,-4.54505,-6.06975,-4.86639,2.24672
32.490666667,-444.102,69.5561,39.676,8.28622,5.89438,0.778927,-1.06773,-5.77168,-10.6895,-3.73619,10.9182,4.62653,-12.9224,-9.11435,4.7669,1.90096,-2.58277,-3.1354,-2.18195,-2.83326,-0.485209
32.512000000,-440.947,70.7837,39.6355,9.00558,4.77747,0.428032,-0.56977,-3.07585,-9.16638,-3.70041,9.55977,-0.62622,-16.186,-5.70598,5.33421,1.76463,-2.50777,-1.78999,-3.13051,-1.8404,1.69426
32.533333333,-446.401,64.5826,37.4204,10.0522,5.88256,1.3173,-0.121996,-3.63194,-9.30081,-4.18595,5.99944,-0.0944477,-14.3208,-8.6877,4.35843,1.02317,-5.45901,-7.63447,-6.63728,-4.76541,2.70426
32.554666667,-442.453,67.6057,39.4184,9.69289,5.3267,-0.0621877,0.0485567,-2.62672,-10.8346,-3.2926,9.24156,0.433615,-13.7515,-7.01995,7.0454,5.12627,-2.76183,-5.56972,-4.61713,-4.58937,1.15633
32.576000000,-443.104,67.6019,35.6816,8.85876,5.88679,2.79553,2.07461,0.456358,-4.8884,-3.62833,10.0259,0.342392,-16.5353,-11.2667,5.59142,4.51623,-3.09816,-2.26762,-2.51323,-2.88627,0.62379
32.597333333,-433.375,72.6441,38.2595,10.2278,7.89363,-1.37909,-1.75587,-2.89579,-7.73711,-2.78062,10.2349,0.979049,-13.0583,-6.01012,5.52545,4.04539,-3.38017,-3.18533,-1.504,-3.08454,0.502815
32.618666667,-438.165,69.6012,36.5773,9.63354,8.33273,-0.759667,-3.26183,-2.90978,-7.52699,-2.95036,8.42032,-0.606142,-14.7733,-7.43196,9.47122,7.49945,-3.46588,-3.55572,-2.49465,-2.00666,3.27183
