TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
4.010666667,0.000181691,1.85663,0.148097,0,0.0705808,0.0543307,0.0335657,0.214147,0.00528506,1.30569,0.343892,0.000124139
4.053333333,0.000101372,1.8316,0.164192,0,0.111977,0.0836562,0.0578831,0.192596,0,1.38559,0.235689,4.88E-05
4.096,0.0625959,1.84732,0.189136,0.0122038,0.0795691,0.113778,0.120502,0.166826,0,1.4735,0.156372,0
4.138666667,0.157773,1.97445,0.297901,0.0150703,0.0876596,0.0374045,0.124672,0.132756,0.0736146,1.31936,0.130579,0.0540632
4.181333333,0.109391,2.06579,0.324283,0.0130479,0.0585712,0.0145893,0.0826771,0.170963,0.0458621,1.29517,0.188854,0.0754169
4.224,0.109679,1.96047,0.572963,0.0100418,0.0303562,0,0.124495,0.15121,0.00398988,1.26892,0.106532,0.138477
4.266666667,0.0426908,1.93904,0.673797,0.0295119,0.0104045,0.0103356,0.0529091,0.0405221,0.00342919,1.291,0.0796798,0.145246
4.309333333,0.224431,1.93933,0.40408,0.169202,0.0147091,0.0101609,0.0529785,0,0.00424866,1.43568,0.129343,0.0464575
4.352,0.512437,1.85847,0.566925,0.177404,0.0284005,0.0788763,0.0642851,0,0.00299188,1.30841,0.0846545,0.0295366
4.394666667,0.47869,1.82755,0.618659,0.137802,0.0336075,0.160024,0.209519,0,0.00231515,1.23106,0.0113778,0.0255905
4.437333333,0.157085,1.69264,0.496637,0.0711658,0.0656731,0.0582606,0.235505,0,0.0117616,1.25045,0.0352048,0.159869
4.48,0.066514,1.67909,0.653978,0.0370935,0.0495516,0.0265391,0.0589684,0.00822512,0.0039045,1.65537,0.0539116,0.127337
4.522666667,0.000149138,1.73045,0.553709,0.0337385,0.0117055,0,0,0.121906,0.00363678,1.97052,0.11199,0.0644162
4.565333333,1.57E-05,1.77045,0.566535,0.202542,0.0218945,0.00197332,0.000327721,0.325272,0.0448738,1.82904,0.132112,0.0003036
4.608,0.000118647,1.82028,0.841542,0.118243,0.0123872,0.0230235,0.00281565,0.209913,0.0621759,1.84361,0.091413,3.35E-05
4.650666667,0.365474,1.71938,0.982472,0.137707,0.00210432,0.0398352,0.00209815,0.0186613,0.0400649,1.78314,0.0417596,0
4.693333333,0.520353,1.57089,0.936295,0.211572,0.104384,0.115464,0.000470591,0,0.00202064,1.08637,0.0637883,0.231065
4.736,0.461156,1.52994,0.716079,0.0929904,0.0956202,0,0.0052446,0,0.0950536,1.22656,0.0926119,0.336914
4.778666667,0.2511,1.64832,0.557741,0.0221901,0.153436,0,0.0247399,0.0213589,0.0349807,1.23476,0.0945316,0.15154
4.821333333,0.0545721,1.74828,0.471836,0.00429721,0.291717,0,0.032889,0.0549386,0.0892724,1.36613,0.287821,0.00100654
4.864,0.105287,1.66352,0.534337,0,0.272257,0,0.0248821,0.0530971,0.107678,1.40027,0.326864,0.0116574
4.906666667,0.340769,1.64436,0.575789,0,0.150529,0.034705,0.00698864,0.0461642,0.0789069,1.29306,0.296549,0.0305677
